Supercharger,Street Address,City,State,city_state,Zip,Country,Stalls,GPS,Elev,Status,Open Date,Tesla,Thread
"Pearl, MS",200 Bass Pro Dr,Pearl,MS,Pearl_MS,39208,USA,8,"32.274159, -90.151048",79,Open,31-Mar-16,http://www.teslamotors.com/findus/location/supercharger/pearlsupercharger,http://supercharge.info/service/supercharge/discuss?siteId=816
"Terre Haute, IN","Meijer, 5600 E, New Margaret Dr",Terre Haute,IN,TerreHaute_IN,47803,USA,8,"39.443345, -87.331737",171,Open,30-Mar-16,http://www.teslamotors.com/findus/location/supercharger/terrehaute,http://supercharge.info/service/supercharge/discuss?siteId=807
"Champaign, IL",2401 N Prospect Ave,Champaign,IL,Champaign_IL,61822,USA,8,"40.146209, -88.259884",228,Open,23-Mar-16,http://www.teslamotors.com/findus/location/supercharger/champaignillinois,http://supercharge.info/service/supercharge/discuss?siteId=802
"Warsaw, NC",2676 W Nc 24 Hwy,Warsaw,NC,Warsaw_NC,28398,USA,6,"34.994793, -78.135673",47,Open,11-Mar-16,http://www.teslamotors.com/findus/location/supercharger/warsaw,http://supercharge.info/service/supercharge/discuss?siteId=806
"Beatty, NV",700 US-95,Beatty,NV,Beatty_NV,89003,USA,8,"36.913718, -116.754371","1,011",Open,9-Feb-16,http://www.teslamotors.com/findus/location/supercharger/beattysupercharger,http://supercharge.info/service/supercharge/discuss?siteId=738
"Slidell, LA",Fremaux Town Center 1303 Town Center Pkwy,Slidell,LA,Slidell_LA,70458,USA,8,"30.266552, -89.760156",3,Open,6-Feb-16,http://www.teslamotors.com/findus/location/supercharger/slidellsupercharger,http://supercharge.info/service/supercharge/discuss?siteId=756
"Buttonwillow, CA",20673 Tracy Ave,Buttonwillow,CA,Buttonwillow_CA,93206,USA,10,"35.400105, -119.397796",90,Open,29-Jan-16,http://www.teslamotors.com/findus/location/supercharger/buttonwillowsupercharger,http://supercharge.info/service/supercharge/discuss?siteId=729
"Fresno, CA",6709 North Riverside Dr,Fresno,CA,Fresno_CA,93704,USA,10,"36.835455, -119.91058",91,Open,29-Jan-16,http://www.teslamotors.com/findus/location/supercharger/fresnosupercharger,http://supercharge.info/service/supercharge/discuss?siteId=701
"Mammoth Lakes, CA",165 Old Mammoth Rd,Mammoth Lakes,CA,MammothLakes_CA,93546,USA,8,"37.644544, -118.965875","2,390",Open,21-Jan-16,http://www.teslamotors.com/findus/location/supercharger/mammothlakessupercharger,http://supercharge.info/service/supercharge/discuss?siteId=709
"Allentown, PA","Tilghman Square, 4680 Broadway",Allentown,PA,Allentown_PA,18104,USA,8,"40.588102, -75.559904",125,Open,21-Jan-16,http://www.teslamotors.com/findus/location/supercharger/allentownsupercharger,http://supercharge.info/service/supercharge/discuss?siteId=688
